movieCd,movieNm,director,naver_movieCd,ntz_see_score,spc_score,ntz_score
20159647,리얼,이사랑,137008.0,4.42,2.67,4.24
20158485,옥자,봉준호,143435.0,8.77,7.33,8.45
20166488,미이라,알렉스 커츠먼,120160.0,7.49,5.71,7.24
20166384,하루,조선호,152168.0,7.69,4.6,7.08
20176961,지랄발광 17세,켈리 프레몬,149776.0,0.0,6.4,7.98
20162343,악녀,정병길,155256.0,7.82,5.4,6.95
20178121,부니베어: 로거빅 컴백홈 프로젝트,정량,164342.0,6.56,0.0,6.77
20020186,헤드윅,존 카메론 밋첼,31827.0,9.46,0.0,9.2
20174602,노무현입니다,이창재,162173.0,9.49,6.67,8.93
20176102,그 후,홍상수,162956.0,7.99,7.0,6.42
20176511,베를린 신드롬,케이트 쇼트랜드,158864.0,4.8,4.5,6.01
20176741,꼬마참새 리차드: 아프리카 원정대,토비 젠켈,160464.0,8.71,0.0,8.71
20177202,토마스와 친구들: 수수께끼 해적선과 보물찾기,데이비드 스토튼,148994.0,7.88,6.0,7.83
20081056,다크 나이트,크리스토퍼 놀란,62586.0,10.0,8.7,9.33
20177761,오즈: 신기한 마법가루,블라디미르 토로프킨,165029.0,7.58,0.0,7.69
20176562,예수는 역사다,존 건,158910.0,9.04,4.0,7.69
20161872,너의 이름은.,신카이 마코토,150198.0,9.02,7.55,8.75
20176781,내가 죽기 전에 가장 듣고 싶은 말,마크 펠링톤,142634.0,0.0,5.33,8.45
20177701,위시 어폰,존 R. 레오네티,154262.0,7.63,3.5,7.19
20178646,송 투 송,테렌스 맬릭,114268.0,5.71,5.0,6.62
20168261,원더 우먼,팻티 젠킨스,125473.0,8.24,6.7,7.7
20169348,대립군,정윤철,149221.0,7.59,6.5,7.29
20170982,캐리비안의 해적: 죽은 자는 말이 없다,에스펜 샌버그,82473.0,8.58,5.2,8.29
20175262,겟 아웃,조던 필,156083.0,8.44,7.14,8.24
20174803,7번째 내가 죽던 날,라이 루소 영,144988.0,8.65,4.67,7.56
20164844,불한당: 나쁜 놈들의 세상,변성현,154112.0,8.15,5.83,6.2
20162629,하이큐!! 끝과 시작,미츠나카 스스무,140803.0,9.11,0.0,8.91
20173642,너와 100번째 사랑,츠키카와 쇼,156417.0,8.48,4.67,7.95
20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,야마구치 켄타로,163027.0,0.0,0.0,7.46
20174061,보스 베이비,톰 맥그라스,129094.0,8.84,5.2,8.67
20174821,바다 탐험대 옥토넛 시즌4: 더 파이널,다라 오코넬,160964.0,8.38,0.0,8.32
20175581,파워배틀 와치카: 와치가면의 역습,이영준,162933.0,8.49,4.0,8.42
20160483,꿈의 제인,조현훈,154980.0,8.88,7.0,8.59
20173833,심야식당 2,마츠오카 조지,156091.0,8.8,5.67,8.59
20175142,극장판 쿠로코의 농구 라스트 게임,타다 슌스케,156185.0,9.55,0.0,9.16
20168041,용순,신준,154508.0,8.04,5.67,6.81
20175423,나의 붉은고래,양선,152309.0,7.59,5.5,5.82
20175662,엘르,폴 버호벤,147067.0,8.35,8.09,7.81
20172241,꼬마돼지 베이브의 대모험,테레사 스트로젝,159521.0,7.81,0.0,7.63
20176201,더 서클,제임스 폰솔트,143099.0,0.0,3.67,7.05
20175982,다크 하우스,대런 린 보우즈만,141184.0,5.82,2.33,5.44
20040526,첫키스만 50번째,피터 시걸,38227.0,9.21,6.0,9.21
20161726,임금님의 사건수첩,문현성,144280.0,8.05,5.63,7.71
20162871,특별시민,박인제,146485.0,7.74,5.91,7.39
20167542,분노의 질주: 더 익스트림,F. 게리 그레이,140731.0,9.18,6.0,8.97
20161665,스머프: 비밀의 숲,캘리 애스버리,118966.0,8.61,7.0,8.58
20174165,극장판 또봇: 로봇군단의 습격,고동우,161847.0,0.0,6.0,9.29
20164721,미녀와 야수,빌 콘돈,136872.0,8.99,7.0,8.79
20151227,아빠는 딸,김형협,143473.0,8.56,4.0,8.07
20173301,"서서평, 천천히 평온하게",홍주연,160135.0,9.41,5.5,9.21
20164829,나는 부정한다,믹 잭슨,144984.0,8.53,6.14,8.48
20172541,오두막,스튜어트 하젤딘,125447.0,9.13,4.0,8.55
20163603,가디언즈 오브 갤럭시 VOL. 2,제임스 건,127398.0,9.05,6.25,8.93
20162722,보안관,김형주,146524.0,8.26,5.89,7.89
20173061,슈퍼 빼꼼: 스파이 대작전,임아론,94183.0,8.15,4.5,8.36
20170321,목소리의 형태,야마다 나오코,153964.0,8.74,7.6,8.42
20156708,석조저택 살인사건,정식,127346.0,8.22,4.67,7.28
20163185,언노운 걸,장 피에르 다르덴,150372.0,8.17,7.0,7.87
20179382,에이리언: 커버넌트,리들리 스콧,99715.0,8.19,7.11,8.13
20173961,킹 아서: 제왕의 검,가이 리치,127374.0,8.11,5.25,7.78
20174721,로스트 인 파리,도미니크 아벨,156259.0,8.07,6.0,7.94
20174644,길,정인봉,158536.0,8.38,4.5,8.26
20162181,프리즌,나현,146517.0,8.25,6.0,7.58
20163194,공각기동대 : 고스트 인 더 쉘,루퍼트 샌더스,134838.0,7.27,5.14,6.96
20151230,원라인,양경모,142699.0,8.68,5.71,8.17
20167363,히든 피겨스,데오도르 멜피,147092.0,9.36,6.75,9.35
20167902,보통사람,김봉한,152331.0,8.5,5.86,7.96
20167005,데스노트: 더 뉴 월드,사토 신스케,142324.0,7.51,6.0,5.0
20167364,미스 슬로운,존 매든,142632.0,9.32,6.83,9.28
20171661,아기돼지 3형제와 매직램프,유위,160720.0,7.53,6.0,7.02
20179442,밤의 해변에서 혼자,홍상수,156465.0,7.62,7.63,5.66
20171801,극장판 암살교실 : 365일의 시간,키시 세이지,160750.0,8.72,0.0,8.47
20171381,라이프,다니엘 에스피노사,152633.0,7.82,5.67,7.22
20167901,어느날,이윤기,146544.0,8.32,6.0,7.7
20161923,시간위의 집,임대웅,154214.0,8.36,4.71,7.6
20171781,패트리어트 데이,피터 버그,149731.0,8.89,5.0,8.81
20173444,링스,하비에르 구티에레즈,137909.0,0.0,0.0,4.9
20040525,패션 오브 크라이스트,멜 깁슨,38197.0,0.0,0.0,8.6
20170741,지니어스,마이클 그랜다지,114247.0,8.11,5.4,8.1
20173601,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,제이미 미첼,161374.0,8.73,0.0,8.69
20179662,파워레인져스: 더 비기닝,딘 이스라엘리트,143490.0,8.01,6.5,7.17
20174561,더 플랜,최진성,162471.0,9.82,6.5,8.86
20172125,파운더,존 리 행콕,137976.0,8.22,6.78,8.37
20173121,콜로설,나초 비갈론도,143499.0,7.5,5.8,5.17
20149317,가디언즈 오브 갤럭시,제임스 건,97857.0,8.64,7.96,8.56
20150971,해빙,이수연,137875.0,6.64,6.0,6.5
20161827,로건,제임스 맨골드,117787.0,8.93,7.55,9.06
20170241,23 아이덴티티,M. 나이트 샤말란,144927.0,7.94,6.5,7.65
20166421,재심,김태윤,149512.0,8.7,6.0,8.5
20161744,트롤,마이크 미첼,101904.0,8.81,5.5,8.71
20158799,눈길,이나정,134772.0,9.02,6.0,9.16
20150964,조작된 도시,박광현,127382.0,8.56,5.22,8.03
20165927,문라이트,배리 젠킨스,152684.0,8.4,7.89,8.06
20166468,사일런스,마틴 스콜세지,90922.0,8.72,7.0,8.25
20166101,존 윅 - 리로드,채드 스타헬스키,143932.0,8.73,7.0,7.97
