,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
357,스노든,134887,8.88,7.03,8.71
358,핵소 고지,142305,8.59,6.88,8.57
359,23 아이덴티티,144927,8.76,0.0,8.86
360,레고 배트맨 무비,132627,8.78,5.92,8.31
361,재심,149512,0.0,0.0,6.65
362,라이언,134841,7.42,6.4,7.09
363,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,8.07,6.86,7.91
364,사일런스,90922,8.87,0.0,8.73
365,더 큐어,143372,0.0,0.0,4.25
366,녹터널 애니멀스,143409,8.18,0.0,6.98
367,일본 엄마,158466,7.77,2.25,7.42
368,딥워터 호라이즌,137346,7.34,6.17,5.28
369,언프렌드,146361,0.0,0.0,6.06
370,발레리나,130984,6.64,6.0,6.5
371,해빙,137875,9.3,6.5,9.18
372,얼라이드,149777,9.15,6.38,8.99
373,맛있는 워킹걸,158764,7.94,6.5,7.65
374,빌리 린스 롱 하프타임 워크,136849,8.27,6.47,8.35
375,여교사,139673,0.0,0.0,6.48
376,싱글라이더,146459,8.81,7.54,8.75
377,군함도,146506,0.0,0.0,0.0
378,터닝메카드W: 블랙미러의 부활,155484,9.6,0.0,9.39
379,매기스 플랜,136859,8.3,0.0,8.27
380,판도라,132933,7.92,4.5,6.45
381,가족의 재구성,158634,7.66,6.9,7.46
382,"구름의 저편, 약속의 장소",38249,8.56,5.94,7.94
383,루시드 드림,130713,8.69,7.08,8.18
384,사랑의 시대,146374,0.0,0.0,0.0
385,프리즌,146517,0.0,0.0,5.21
386,사랑하기 때문에,140010,0.0,0.0,8.81
387,캐리비안의 해적: 죽은 자는 말이 없다,82473,8.7,6.0,8.5
388,제리 맥과이어,17942,8.86,5.83,8.73
389,조작된 도시,127382,8.39,6.83,8.08
390,공조,142384,8.59,6.0,8.38
391,50가지 그림자: 심연,144081,8.45,7.29,8.18
392,너의 이름은.,150198,8.77,6.5,8.05
393,레지던트 이블: 파멸의 날,110333,8.9,8.34,8.59
394,모아나,130849,7.31,6.78,6.61
395,핵소 고지,142305,8.39,6.0,8.03
396,라라랜드,134963,8.88,7.03,8.71
397,스노든,134887,8.59,6.88,8.57
398,레고 배트맨 무비,132627,8.76,0.0,8.86
399,23 아이덴티티,144927,8.78,5.92,8.31
400,녹터널 애니멀스,143409,0.0,0.0,3.67
401,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,7.42,6.4,7.09
402,퍼스널 쇼퍼,144221,9.19,6.0,9.2
403,더 큐어,143372,8.87,0.0,8.73
404,언프렌드,146361,8.18,0.0,6.98
405,발레리나,130984,7.77,2.25,7.42
406,사일런스,90922,7.34,6.17,5.28
407,일본 엄마,158466,0.0,0.0,6.06
408,싱글라이더,146459,6.64,6.0,6.5
409,딥워터 호라이즌,137346,9.3,6.5,9.18
410,해빙,137875,7.94,6.5,7.65
411,맛있는 워킹걸,158764,9.51,6.2,9.25
412,가족의 재구성,158634,8.27,6.47,8.35
413,뚜르: 내 생애 최고의 49일,142304,0.0,0.0,6.48
414,군함도,146506,9.42,6.93,9.04
415,여교사,139673,0.0,0.0,0.0
416,프리즌,146517,8.3,0.0,8.27
417,친구부부 : 욕망의 스와핑,157437,7.66,6.9,7.46
418,언더월드: 블러드 워,137887,9.48,7.0,8.38
419,루시드 드림,130713,8.56,5.94,7.94
420,캐리비안의 해적: 죽은 자는 말이 없다,82473,8.69,7.08,8.18
421,매기스 플랜,136859,0.0,0.0,5.21
422,문영,144578,0.0,0.0,8.81
423,제리 맥과이어,17942,8.7,6.0,8.5
424,"그래, 가족",151192,8.86,5.83,8.73
425,조작된 도시,127382,8.83,5.0,8.27
426,핵소 고지,142305,7.31,6.78,6.61
427,레지던트 이블: 파멸의 날,110333,8.58,6.5,8.86
428,스노든,134887,8.65,5.77,8.1
429,패신저스,116233,8.39,6.0,8.03
430,마스터,145162,8.88,7.03,8.71
431,레고 배트맨 무비,132627,8.59,6.88,8.57
432,라라랜드,134963,8.78,5.92,8.31
433,더 큐어,143372,7.42,6.4,7.09
434,발레리나,130984,9.19,6.0,9.2
