Unnamed: 0,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
266,얼라이드,149777,8.39,6.83,8.08
267,공조,142384,8.86,8.75,8.76
268,맥스 스틸,129002,9.28,8.4,9.25
269,잭 리처: 네버 고 백,119412,8.15,4.0,8.3
270,졸업반,157493,8.95,0.0,9.04
271,언어의 정원,106335,10.0,0.0,6.05
272,미인어,127383,9.14,6.0,9.02
273,초속5센티미터,66820,9.27,0.0,9.03
274,내 남편의 가정교사,158788,6.74,2.5,5.83
275,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,152265,9.44,6.0,8.68
276,"내 어깨 위 고양이, 밥",154379,0.0,0.0,6.9
277,형,142803,8.13,4.88,7.15
278,반지의 제왕: 반지 원정대,31794,7.29,5.67,7.1
279,에곤 쉴레: 욕망이 그린 그림,154307,8.77,6.5,8.15
280,문영,144578,8.93,7.0,7.47
281,아브릴과 조작된 세계,122917,9.36,0.0,9.17
282,걱정말아요,152591,7.75,8.5,8.9
283,레지던트 이블: 파멸의 날,110333,7.96,6.0,7.94
284,너브,137938,8.21,7.55,7.76
285,"나, 다니엘 블레이크",150376,8.34,0.0,8.57
286,최후의 Z,102805,8.77,6.5,8.05
287,극장판 도라에몽:신 진구의 버스 오브 재팬,141675,7.71,6.0,7.47
288,어카운턴트,134859,10.0,4.0,6.46
289,신비한 동물사전,115642,8.83,7.0,8.74
290,하이큐!! 승자와 패자,155963,9.6,7.67,9.31
291,모아나,130849,0.0,0.0,0.0
292,더 큐어,143372,8.83,5.0,8.27
293,시간을 달리는 소녀,63513,0.0,0.0,0.0
294,녹터널 애니멀스,143409,8.58,6.5,8.86
295,목숨 건 연애,142263,9.27,6.0,9.18
296,여교사,139673,8.99,6.71,8.96
297,로그 원: 스타워즈 스토리,136868,8.78,5.92,8.31
298,사랑하기 때문에,140010,9.02,7.55,8.75
299,씽,144938,8.53,6.72,8.37
300,판도라,132933,7.31,6.78,6.61
301,스와핑 하던 날,155084,8.39,6.0,8.03
302,사다코 대 카야코,149283,7.53,4.0,4.31
303,공조,142384,8.69,7.08,8.18
304,얼라이드,149777,8.97,7.5,8.71
305,루돌프와 많이있어,153951,8.39,6.83,8.08
306,맥스 스틸,129002,8.86,8.75,8.76
307,미씽: 사라진 여자,142625,9.28,8.4,9.25
308,언어의 정원,106335,8.15,4.0,8.3
309,초속5센티미터,66820,8.95,0.0,9.04
310,"내 어깨 위 고양이, 밥",154379,9.14,6.0,9.02
311,미인어,127383,9.27,0.0,9.03
312,문영,144578,6.74,2.5,5.83
313,반지의 제왕: 반지 원정대,31794,9.44,6.0,8.68
314,잭 리처: 네버 고 백,119412,0.0,0.0,6.9
315,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,152265,8.13,4.88,7.15
316,너브,137938,7.29,5.67,7.1
317,내 남편의 가정교사,158788,8.93,7.0,7.47
318,레지던트 이블: 파멸의 날,110333,9.36,0.0,9.17
319,형,142803,7.96,6.0,7.94
320,인시던트,130430,9.12,6.78,8.95
321,모아나,130849,8.21,7.55,7.76
322,녹터널 애니멀스,143409,0.0,0.0,5.22
323,원피스 필름 골드,146214,8.34,0.0,8.57
324,"나, 다니엘 블레이크",150376,8.77,6.5,8.05
325,시간을 달리는 소녀,63513,7.71,6.0,7.47
326,더 큐어,143372,10.0,4.0,6.46
327,가려진 시간,141259,8.83,7.0,8.74
328,아브릴과 조작된 세계,122917,9.6,7.67,9.31
329,최후의 Z,102805,0.0,0.0,0.0
330,별을 쫓는 아이:아가르타의 전설,84505,8.83,5.0,8.27
331,극장판 도라에몽:신 진구의 버스 오브 재팬,141675,0.0,0.0,0.0
332,신비한 동물사전,115642,8.58,6.5,8.86
333,자백,146534,9.27,6.0,9.18
334,사랑하기 때문에,140010,8.78,5.92,8.31
335,로그 원: 스타워즈 스토리,136868,8.8,5.44,8.68
336,라라랜드,134963,9.02,7.55,8.75
337,더 킹,144314,8.05,6.25,7.93
338,딥워터 호라이즌,137346,8.73,6.38,8.8
339,어쌔신 크리드,118307,8.74,0.0,8.75
340,얼라이드,149777,8.69,7.08,8.18
341,공조,142384,8.97,7.5,8.71
342,맥스 스틸,129002,8.39,6.83,8.08
343,언어의 정원,106335,8.86,8.75,8.76
344,초속5센티미터,66820,9.28,8.4,9.25
345,루돌프와 많이있어,153951,8.15,4.0,8.3
346,문영,144578,8.95,0.0,9.04
347,미씽: 사라진 여자,142625,10.0,0.0,6.05
348,너브,137938,6.74,2.5,5.83
349,녹터널 애니멀스,143409,0.0,0.0,6.9
350,인시던트,130430,8.13,4.88,7.15
351,모아나,130849,7.29,5.67,7.1
352,레지던트 이블: 파멸의 날,110333,8.77,6.5,8.15
353,걱정말아요,152591,8.93,7.0,7.47
354,에곤 쉴레: 욕망이 그린 그림,154307,9.36,0.0,9.17
355,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,152265,7.75,8.5,8.9
356,잭 리처: 네버 고 백,119412,7.96,6.0,7.94
357,졸업반,157493,9.12,6.78,8.95
358,싱글라이더,146459,8.21,7.55,7.76
359,형,142803,0.0,0.0,5.22
360,시간을 달리는 소녀,63513,8.34,0.0,8.57
361,별을 쫓는 아이:아가르타의 전설,84505,8.77,6.5,8.05
362,7년-그들이 없는 언론,146526,7.71,6.0,7.47
363,원피스 필름 골드,146214,8.83,7.0,8.74
364,"나, 다니엘 블레이크",150376,9.6,7.67,9.31
365,내 남편의 가정교사,158788,0.0,0.0,0.0
366,가려진 시간,141259,8.83,5.0,8.27
367,조작된 도시,127382,0.0,0.0,0.0
368,최후의 Z,102805,9.27,6.0,9.18
369,패신저스,116233,8.34,7.16,8.44
370,마스터,145162,8.9,8.34,8.59
371,로그 원: 스타워즈 스토리,136868,9.02,7.55,8.75
372,판도라,132933,8.03,5.5,7.95
373,눈의 여왕3: 눈과 불의 마법대결,156675,7.31,6.78,6.61
374,"당신, 거기 있어줄래요",145292,8.91,4.55,8.34
375,초속5센티미터,66820,8.39,6.83,8.08
376,문영,144578,8.15,4.0,8.3
377,루돌프와 많이있어,153951,8.95,0.0,9.04
378,녹터널 애니멀스,143409,10.0,0.0,6.05
379,반지의 제왕: 반지 원정대,31794,9.27,0.0,9.03
380,"내 어깨 위 고양이, 밥",154379,6.74,2.5,5.83
381,싱글라이더,146459,9.44,6.0,8.68
382,모아나,130849,0.0,0.0,6.9
383,너브,137938,8.13,4.88,7.15
384,인시던트,130430,7.29,5.67,7.1
385,미씽: 사라진 여자,142625,8.77,6.5,8.15
386,에곤 쉴레: 욕망이 그린 그림,154307,8.93,7.0,7.47
387,걱정말아요,152591,9.36,0.0,9.17
388,레지던트 이블: 파멸의 날,110333,7.75,8.5,8.9
389,별을 쫓는 아이:아가르타의 전설,84505,7.96,6.0,7.94
390,7년-그들이 없는 언론,146526,9.12,6.78,8.95
391,시간을 달리는 소녀,63513,8.21,7.55,7.76
392,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,152265,0.0,0.0,5.22
393,잭 리처: 네버 고 백,119412,8.34,0.0,8.57
394,형,142803,8.77,6.5,8.05
395,졸업반,157493,7.71,6.0,7.47
396,"나, 다니엘 블레이크",150376,10.0,4.0,6.46
397,조작된 도시,127382,9.6,7.67,9.31
398,도살장,158869,8.83,5.0,8.27
399,소림사 무림탐정-취의전장,155104,0.0,0.0,0.0
400,스노든,134887,8.58,6.5,8.86
401,사랑하기 때문에,140010,8.8,5.44,8.68
402,어쌔신 크리드,118307,8.03,5.5,7.95
403,더 킹,144314,8.91,4.55,8.34
404,판도라,132933,8.05,6.25,7.93
405,"당신, 거기 있어줄래요",145292,8.74,0.0,8.75
406,얼라이드,149777,8.39,6.0,8.03
407,공조,142384,7.53,4.0,4.31
408,스와핑 하던 날,155084,8.69,7.08,8.18
409,사다코 대 카야코,149283,8.97,7.5,8.71
410,녹터널 애니멀스,143409,9.28,8.4,9.25
411,모아나,130849,8.15,4.0,8.3
412,미인어,127383,10.0,0.0,6.05
413,싱글라이더,146459,9.14,6.0,9.02
414,루돌프와 많이있어,153951,9.27,0.0,9.03
415,맥스 스틸,129002,0.0,0.0,6.9
416,"내 어깨 위 고양이, 밥",154379,8.13,4.88,7.15
417,7년-그들이 없는 언론,146526,8.93,7.0,7.47
418,시간을 달리는 소녀,63513,7.75,8.5,8.9
419,에곤 쉴레: 욕망이 그린 그림,154307,9.12,6.78,8.95
420,걱정말아요,152591,8.21,7.55,7.76
421,소시민,123678,10.0,4.0,6.46
422,조작된 도시,127382,8.83,7.0,8.74
423,인페르노,129461,9.6,7.67,9.31
424,"나, 다니엘 블레이크",150376,0.0,0.0,0.0
425,재심,149512,8.83,5.0,8.27
426,"구름의 저편, 약속의 장소",38249,0.0,0.0,0.0
427,어 워: 라스트 미션,144929,8.58,6.5,8.86
428,라스트 데이즈 인 더 데저트,121938,9.27,6.0,9.18
429,어쌔신 크리드,118307,9.02,7.55,8.75
430,로그 원: 스타워즈 스토리,136868,8.53,6.72,8.37
431,씽,144938,8.03,5.5,7.95
432,더 킹,144314,7.31,6.78,6.61
433,얼라이드,149777,8.05,6.25,7.93
434,판도라,132933,8.73,6.38,8.8
435,공조,142384,8.39,6.0,8.03
436,모아나,130849,7.53,4.0,4.31
437,딥워터 호라이즌,137346,8.69,7.08,8.18
438,녹터널 애니멀스,143409,8.97,7.5,8.71
439,스와핑 하던 날,155084,8.86,8.75,8.76
440,언어의 정원,106335,9.28,8.4,9.25
441,사다코 대 카야코,149283,8.95,0.0,9.04
442,너브,137938,9.27,0.0,9.03
443,반지의 제왕: 반지 원정대,31794,6.74,2.5,5.83
444,7년-그들이 없는 언론,146526,9.44,6.0,8.68
445,레지던트 이블: 파멸의 날,110333,0.0,0.0,6.9
446,루돌프와 많이있어,153951,8.13,4.88,7.15
447,"내 어깨 위 고양이, 밥",154379,7.29,5.67,7.1
448,인시던트,130430,8.77,6.5,8.15
449,미씽: 사라진 여자,142625,8.93,7.0,7.47
450,별을 쫓는 아이:아가르타의 전설,84505,9.36,0.0,9.17
451,맥스 스틸,129002,7.75,8.5,8.9
452,시간을 달리는 소녀,63513,7.96,6.0,7.94
453,형,142803,8.21,7.55,7.76
454,잭 리처: 네버 고 백,119412,0.0,0.0,5.22
455,더 걸 온 더 트레인,142255,8.77,6.5,8.05
456,인페르노,129461,7.71,6.0,7.47
457,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,152265,8.83,7.0,8.74
458,졸업반,157493,9.6,7.67,9.31
459,재심,149512,0.0,0.0,0.0
460,조작된 도시,127382,8.83,5.0,8.27
461,컨택트,136869,0.0,0.0,0.0
462,"구름의 저편, 약속의 장소",38249,8.58,6.5,8.86
463,"나, 다니엘 블레이크",150376,9.27,6.0,9.18
464,어쌔신 크리드,118307,8.99,6.71,8.96
465,여교사,139673,8.8,5.44,8.68
466,얼라이드,149777,8.53,6.72,8.37
467,더 킹,144314,8.03,5.5,7.95
468,로그 원: 스타워즈 스토리,136868,7.31,6.78,6.61
469,씽,144938,8.91,4.55,8.34
470,모아나,130849,8.05,6.25,7.93
471,눈의 여왕3: 눈과 불의 마법대결,156675,8.73,6.38,8.8
472,공조,142384,8.74,0.0,8.75
473,판도라,132933,8.39,6.0,8.03
474,녹터널 애니멀스,143409,7.53,4.0,4.31
475,"당신, 거기 있어줄래요",145292,8.69,7.08,8.18
476,문영,144578,8.39,6.83,8.08
477,초속5센티미터,66820,8.86,8.75,8.76
478,레지던트 이블: 파멸의 날,110333,8.15,4.0,8.3
479,스와핑 하던 날,155084,8.95,0.0,9.04
480,사다코 대 카야코,149283,10.0,0.0,6.05
481,7년-그들이 없는 언론,146526,9.27,0.0,9.03
482,싱글라이더,146459,6.74,2.5,5.83
483,너브,137938,9.44,6.0,8.68
484,반지의 제왕: 반지 원정대,31794,0.0,0.0,6.9
485,더 걸 온 더 트레인,142255,7.29,5.67,7.1
486,시간을 달리는 소녀,63513,8.77,6.5,8.15
487,루돌프와 많이있어,153951,8.93,7.0,7.47
488,"내 어깨 위 고양이, 밥",154379,9.36,0.0,9.17
489,별을 쫓는 아이:아가르타의 전설,84505,7.75,8.5,8.9
490,미씽: 사라진 여자,142625,7.96,6.0,7.94
491,컨택트,136869,9.12,6.78,8.95
492,재심,149512,8.21,7.55,7.76
493,맥스 스틸,129002,0.0,0.0,5.22
494,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,8.34,0.0,8.57
495,소시민,123678,8.77,6.5,8.05
496,택시 3,36818,7.71,6.0,7.47
497,형,142803,10.0,4.0,6.46
498,인페르노,129461,8.83,7.0,8.74
499,터닝메카드W: 블랙미러의 부활,155484,9.6,7.67,9.31
500,잭 리처: 네버 고 백,119412,0.0,0.0,0.0
501,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,152265,8.83,5.0,8.27
502,에곤 쉴레: 욕망이 그린 그림,154307,0.0,0.0,0.0
503,다른 길이 있다,134976,8.58,6.5,8.86
504,에이리언: 커버넌트,99715,9.27,6.0,9.18
505,얼라이드,149777,8.8,5.44,8.68
506,모아나,130849,9.02,7.55,8.75
507,사랑하기 때문에,140010,8.53,6.72,8.37
508,로그 원: 스타워즈 스토리,136868,8.05,6.25,7.93
509,녹터널 애니멀스,143409,8.39,6.0,8.03
510,판도라,132933,7.53,4.0,4.31
511,레지던트 이블: 파멸의 날,110333,8.69,7.08,8.18
512,"당신, 거기 있어줄래요",145292,8.97,7.5,8.71
513,딥워터 호라이즌,137346,8.86,8.75,8.76
514,7년-그들이 없는 언론,146526,8.95,0.0,9.04
515,스와핑 하던 날,155084,9.14,6.0,9.02
516,더 걸 온 더 트레인,142255,9.27,0.0,9.03
517,미인어,127383,8.13,4.88,7.15
518,컨택트,136869,7.29,5.67,7.1
519,재심,149512,8.93,7.0,7.47
520,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,9.36,0.0,9.17
521,택시 3,36818,7.96,6.0,7.94
522,미씽: 사라진 여자,142625,9.12,6.78,8.95
523,"내 어깨 위 고양이, 밥",154379,8.21,7.55,7.76
524,인시던트,130430,0.0,0.0,5.22
525,다른 길이 있다,134976,8.34,0.0,8.57
526,단지 세상의 끝,137958,8.77,6.5,8.05
527,루돌프와 많이있어,153951,7.71,6.0,7.47
528,터닝메카드W: 블랙미러의 부활,155484,10.0,4.0,6.46
529,소시민,123678,8.83,7.0,8.74
530,에이리언: 커버넌트,99715,9.6,7.67,9.31
531,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,152265,0.0,0.0,0.0
532,맥스 스틸,129002,8.83,5.0,8.27
533,더 킹 오브 엠파이어,141447,0.0,0.0,0.0
534,형,142803,8.58,6.5,8.86
535,인페르노,129461,9.27,6.0,9.18
536,어쌔신 크리드,118307,8.34,7.16,8.44
537,얼라이드,149777,8.78,5.92,8.31
538,모아나,130849,8.8,5.44,8.68
539,더 킹,144314,8.53,6.72,8.37
540,공조,142384,8.05,6.25,7.93
541,녹터널 애니멀스,143409,8.73,6.38,8.8
542,눈의 여왕3: 눈과 불의 마법대결,156675,8.74,0.0,8.75
543,로그 원: 스타워즈 스토리,136868,8.39,6.0,8.03
544,레지던트 이블: 파멸의 날,110333,7.53,4.0,4.31
545,문영,144578,8.69,7.08,8.18
546,판도라,132933,8.97,7.5,8.71
547,"당신, 거기 있어줄래요",145292,8.39,6.83,8.08
548,더 걸 온 더 트레인,142255,8.95,0.0,9.04
549,7년-그들이 없는 언론,146526,10.0,0.0,6.05
550,너브,137938,9.14,6.0,9.02
551,싱글라이더,146459,9.27,0.0,9.03
552,컨택트,136869,9.44,6.0,8.68
553,스와핑 하던 날,155084,0.0,0.0,6.9
554,다른 길이 있다,134976,8.13,4.88,7.15
555,단지 세상의 끝,137958,7.29,5.67,7.1
556,택시 3,36818,8.77,6.5,8.15
557,반지의 제왕: 반지 원정대,31794,7.75,8.5,8.9
558,별을 쫓는 아이:아가르타의 전설,84505,9.12,6.78,8.95
559,여자전쟁: 여자의 이유,143478,8.21,7.55,7.76
560,신비한 동물사전,115642,0.0,0.0,5.22
561,터닝메카드W: 블랙미러의 부활,155484,8.34,0.0,8.57
562,에이리언: 커버넌트,99715,8.77,6.5,8.05
563,미씽: 사라진 여자,142625,7.71,6.0,7.47
564,동창회의 목적: 더 비기닝,153423,10.0,4.0,6.46
565,더 킹 오브 엠파이어,141447,9.6,7.67,9.31
566,"내 어깨 위 고양이, 밥",154379,0.0,0.0,0.0
567,미인어,127383,8.83,5.0,8.27
568,루돌프와 많이있어,153951,9.27,6.0,9.18
569,얼라이드,149777,8.9,8.34,8.59
570,모아나,130849,8.99,6.71,8.96
571,마스터,145162,8.78,5.92,8.31
572,공조,142384,7.31,6.78,6.61
573,여교사,139673,8.91,4.55,8.34
574,녹터널 애니멀스,143409,8.05,6.25,7.93
575,씽,144938,8.73,6.38,8.8
576,레지던트 이블: 파멸의 날,110333,8.39,6.0,8.03
577,로그 원: 스타워즈 스토리,136868,7.53,4.0,4.31
578,판도라,132933,8.69,7.08,8.18
579,문영,144578,8.97,7.5,8.71
580,더 걸 온 더 트레인,142255,8.39,6.83,8.08
581,"당신, 거기 있어줄래요",145292,8.86,8.75,8.76
582,딥워터 호라이즌,137346,8.15,4.0,8.3
583,언어의 정원,106335,8.95,0.0,9.04
584,컨택트,136869,9.14,6.0,9.02
585,신비한 동물사전,115642,9.27,0.0,9.03
586,여자전쟁: 여자의 이유,143478,6.74,2.5,5.83
587,단지 세상의 끝,137958,0.0,0.0,6.9
588,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,8.13,4.88,7.15
589,택시 3,36818,7.29,5.67,7.1
590,싱글라이더,146459,8.77,6.5,8.15
591,다른 길이 있다,134976,8.93,7.0,7.47
592,재심,149512,9.36,0.0,9.17
593,사다코 대 카야코,149283,7.75,8.5,8.9
594,터닝메카드W: 블랙미러의 부활,155484,7.96,6.0,7.94
595,에이리언: 커버넌트,99715,9.12,6.78,8.95
