Unnamed: 0,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
0,마스터,145162,8.65,5.77,8.1
1,로그 원: 스타워즈 스토리,136868,8.34,7.16,8.44
2,라라랜드,134963,8.9,8.34,8.59
3,씽,144938,8.99,6.71,8.96
4,판도라,132933,8.78,5.92,8.31
5,"당신, 거기 있어줄래요",145292,8.8,5.44,8.68
6,너의 이름은.,150198,9.02,7.55,8.75
7,미씽: 사라진 여자,142625,8.53,6.72,8.37
8,패신저스,116233,8.03,5.5,7.95
9,여교사,139673,7.31,6.78,6.61
10,형,142803,8.91,4.55,8.34
11,에곤 쉴레: 욕망이 그린 그림,154307,8.05,6.25,7.93
12,루돌프와 많이있어,153951,8.73,6.38,8.8
13,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,152265,8.74,0.0,8.75
14,사랑하기 때문에,140010,8.39,6.0,8.03
15,목숨 건 연애,142263,7.53,4.0,4.31
16,신비한 동물사전,115642,8.69,7.08,8.18
17,캡틴 판타스틱,127396,8.97,7.5,8.71
18,더 킹,144314,8.39,6.83,8.08
19,매드맥스: 분노의 도로,77768,8.86,8.75,8.76
20,"나, 다니엘 블레이크",150376,9.28,8.4,9.25
21,어카운턴트,134859,8.15,4.0,8.3
22,극장판 도라에몽:신 진구의 버스 오브 재팬,141675,8.95,0.0,9.04
23,최후의 Z,102805,10.0,0.0,6.05
24,"그 시절, 우리가 좋아했던 소녀",88669,9.14,6.0,9.02
25,하이큐!! 승자와 패자,155963,9.27,0.0,9.03
26,사다코 대 카야코,149283,6.74,2.5,5.83
27,"무현, 두 도시 이야기",152183,9.44,6.0,8.68
28,내 남편의 가정교사,158788,0.0,0.0,6.9
29,잭 리처: 네버 고 백,119412,8.13,4.88,7.15
30,어쌔신 크리드,118307,7.29,5.67,7.1
31,업 포 러브,146386,8.77,6.5,8.15
32,연애담,149481,8.93,7.0,7.47
33,미스 사이공: 25주년 특별 공연,155123,9.36,0.0,9.17
34,해리가 샐리를 만났을 때,10250,7.75,8.5,8.9
35,미인어,127383,7.96,6.0,7.94
36,원피스 필름 골드,146214,9.12,6.78,8.95
37,스타워즈: 깨어난 포스,100072,8.21,7.55,7.76
38,내 친구의 아내 2,156645,0.0,0.0,5.22
39,눈의 여왕3: 눈과 불의 마법대결,156675,8.34,0.0,8.57
40,딥워터 호라이즌,137346,8.77,6.5,8.05
41,사랑은 부엉부엉,152486,7.71,6.0,7.47
42,파파좀비,157033,10.0,4.0,6.46
43,아기배달부 스토크,144945,8.83,7.0,8.74
44,자백,146534,9.6,7.67,9.31
45,ARQ,154491,0.0,0.0,0.0
46,공조,142384,8.83,5.0,8.27
47,졸업반,157493,0.0,0.0,0.0
48,얼라이드,149777,8.58,6.5,8.86
49,"내 어깨 위 고양이, 밥",154379,9.27,6.0,9.18
50,너의 이름은.,150198,8.8,5.44,8.68
51,"당신, 거기 있어줄래요",145292,9.02,7.55,8.75
52,루돌프와 많이있어,153951,8.91,4.55,8.34
53,형,142803,8.05,6.25,7.93
54,사랑하기 때문에,140010,8.73,6.38,8.8
55,에곤 쉴레: 욕망이 그린 그림,154307,8.39,6.0,8.03
56,최후의 Z,102805,7.53,4.0,4.31
57,더 킹,144314,8.69,7.08,8.18
58,어카운턴트,134859,8.97,7.5,8.71
59,신비한 동물사전,115642,8.39,6.83,8.08
60,목숨 건 연애,142263,8.86,8.75,8.76
61,하이큐!! 승자와 패자,155963,9.28,8.4,9.25
62,사다코 대 카야코,149283,8.15,4.0,8.3
63,내 남편의 가정교사,158788,8.95,0.0,9.04
64,"나, 다니엘 블레이크",150376,10.0,0.0,6.05
65,극장판 도라에몽:신 진구의 버스 오브 재팬,141675,9.14,6.0,9.02
66,어쌔신 크리드,118307,9.27,0.0,9.03
67,잭 리처: 네버 고 백,119412,6.74,2.5,5.83
68,캡틴 판타스틱,127396,9.44,6.0,8.68
69,"무현, 두 도시 이야기",152183,0.0,0.0,6.9
70,매드맥스: 분노의 도로,77768,8.13,4.88,7.15
71,"그 시절, 우리가 좋아했던 소녀",88669,7.29,5.67,7.1
72,눈의 여왕3: 눈과 불의 마법대결,156675,8.77,6.5,8.15
73,원피스 필름 골드,146214,8.93,7.0,7.47
74,해리가 샐리를 만났을 때,10250,9.36,0.0,9.17
75,스타워즈: 깨어난 포스,100072,7.75,8.5,8.9
76,딥워터 호라이즌,137346,7.96,6.0,7.94
77,업 포 러브,146386,9.12,6.78,8.95
78,사랑은 부엉부엉,152486,8.21,7.55,7.76
79,파파좀비,157033,0.0,0.0,5.22
80,연애담,149481,8.34,0.0,8.57
81,미스 사이공: 25주년 특별 공연,155123,8.77,6.5,8.05
82,공조,142384,7.71,6.0,7.47
83,아브릴과 조작된 세계,122917,10.0,4.0,6.46
84,졸업반,157493,8.83,7.0,8.74
85,얼라이드,149777,9.6,7.67,9.31
86,자백,146534,0.0,0.0,0.0
87,내 친구의 아내 2,156645,8.83,5.0,8.27
88,미인어,127383,0.0,0.0,0.0
89,가려진 시간,141259,8.58,6.5,8.86
90,스와핑 하던 날,155084,9.27,6.0,9.18
91,씽,144938,8.9,8.34,8.59
92,라라랜드,134963,8.99,6.71,8.96
93,패신저스,116233,8.53,6.72,8.37
94,미씽: 사라진 여자,142625,8.03,5.5,7.95
95,사랑하기 때문에,140010,8.05,6.25,7.93
96,형,142803,8.73,6.38,8.8
97,사다코 대 카야코,149283,8.39,6.0,8.03
98,하이큐!! 승자와 패자,155963,7.53,4.0,4.31
99,내 남편의 가정교사,158788,8.69,7.08,8.18
100,어쌔신 크리드,118307,8.97,7.5,8.71
